position,guid,name,steamid
83,FF011000014725CC0A,Cloaked_Badger,76561199153925130
84,FF0110000108156EF3,JS4,76561198095888115
85,FF011000013208C778,NF Designs | Teairn (Twitch Liv,76561198799701880
86,FF0110000140DFF4A2,naeo,76561199048684706
87,FF0110000148FD2E6A,Dennis | Alone Creations,76561199184817770
88,FF011000010AF4DBFF,trip,76561198144084991
89,FF0110000131CA9A90,Jones_797 | MXB-Mods Racing,76561198795627152
90,FF011000010C309BFE,Diix | System Decal,76561198164777982
91,FF011000010CB1FBE9,LaMunyon | Pinned Performance,76561198173256681
92,FF011000013F7CCF43,Westwall | Bitburger,76561199025409859
93,FF01100001071A8FC3,Dave,76561198079446979
95,FF011000013BA8F284,Durgy | RCG,76561198961193604
96,FF0110000144456DC8,Keygen,76561199105666504
97,FF0110000142C72D5D,Producer Joe | Main Event Moto,76561199080615261
98,FF0110000142225EBE,weeniemobile,76561199069814462
820,FF011000014AB3C667,Benji86800,76561199213561447
821,FF0110000102B8E8F8,Raggan Bongo ? 420  ?,76561198005938424
822,FF0110000147486AC0,Rednecklife_gaming-yt,76561199156193984
823,FF011000011871D0AE,StopNickHate,76561198370377902
824,FF0110000110DF1334,222,76561198243320628
825,FF011000013EE3B5FF,Kalo,76561199015376383
825,FF0110000132028A99,Homeless Whore,76561198799293081
826,FF011000013D062E69,M249 |,76561198984081001
827,FF0110000140FB619C,Boris BOLIKIC,76561199050482076
828,FF01100001457F8418,johnwoodie7,76561199126250520
829,FF011000011653AFCE,snail,76561198334848974
829,FF01100001456E6265,Kaspars Uibus,76561199125127781
830,FF011000014C15428A,Chumpski17,76561199236727434
831,FF0110000145990876,Stewy,76561199127922806
832,FF0110000112B12DE9,Murax,76561198273867241
833,FF011000013EC35F0F,Isaac,76561199013256975
833,FF011000010A108FEB,TG | SYS,76561198129123307
834,FF011000010007CC87,Alta Boy,76561197960776839
835,FF011000010A4F4A45,Gilly Bibbons,76561198133234245
835,FF01100001021A88E4,LeCanap,76561197995559140
836,FF011000014565571B,jacobewing12e,76561199124535067
